country_code,year,Current US Dollars
USA,2014,1.76E+13
USA,2013,1.69E+13
USA,2012,1.63E+13
USA,2011,1.56E+13
USA,2010,1.5E+13
USA,2009,1.45E+13
USA,2008,1.48E+13
USA,2007,1.45E+13
USA,2006,1.38E+13
USA,2005,1.3E+13
USA,2004,1.22E+13
USA,2003,1.15E+13
USA,2002,1.09E+13
USA,2001,1.06E+13
USA,2000,1.03E+13
USA,1999,9.63E+12
USA,1998,9.06E+12
USA,1997,8.58E+12
USA,1996,8.07E+12
USA,1995,7.64E+12
USA,1994,7.29E+12
USA,1993,6.86E+12
USA,1992,6.52E+12
USA,1991,6.16E+12
USA,1990,5.96E+12
RUS,2014,2.06E+12
RUS,2013,2.29E+12
RUS,2012,2.21E+12
RUS,2011,2.05E+12
RUS,2010,1.52E+12
RUS,2009,1.22E+12
RUS,2008,1.66E+12
RUS,2007,1.3E+12
RUS,2006,9.9E+11
RUS,2005,7.64E+11
RUS,2004,5.91E+11
RUS,2003,4.3E+11
RUS,2002,3.45E+11
RUS,2001,3.07E+11
RUS,2000,2.6E+11
RUS,1999,1.96E+11
RUS,1998,2.71E+11
RUS,1997,4.05E+11
RUS,1996,3.92E+11
RUS,1995,3.96E+11
RUS,1994,3.95E+11
RUS,1993,4.35E+11
RUS,1992,4.6E+11
RUS,1991,5.18E+11
RUS,1990,5.17E+11
JPN,2014,4.9E+12
JPN,2013,5.21E+12
JPN,2012,6.27E+12
JPN,2011,6.23E+12
JPN,2010,5.76E+12
JPN,2009,5.29E+12
JPN,2008,5.11E+12
JPN,2007,4.58E+12
JPN,2006,4.6E+12
JPN,2005,4.83E+12
JPN,2004,4.89E+12
JPN,2003,4.52E+12
JPN,2002,4.18E+12
JPN,2001,4.37E+12
JPN,2000,4.97E+12
JPN,1999,4.64E+12
JPN,1998,4.1E+12
JPN,1997,4.49E+12
JPN,1996,4.92E+12
JPN,1995,5.55E+12
JPN,1994,5E+12
JPN,1993,4.54E+12
JPN,1992,3.98E+12
JPN,1991,3.65E+12
JPN,1990,3.19E+12
ITA,2014,2.16E+12
ITA,2013,2.14E+12
ITA,2012,2.09E+12
ITA,2011,2.29E+12
ITA,2010,2.14E+12
ITA,2009,2.2E+12
ITA,2008,2.41E+12
ITA,2007,2.21E+12
ITA,2006,1.95E+12
ITA,2005,1.86E+12
ITA,2004,1.81E+12
ITA,2003,1.58E+12
ITA,2002,1.28E+12
ITA,2001,1.17E+12
ITA,2000,1.15E+12
ITA,1999,1.25E+12
ITA,1998,1.27E+12
ITA,1997,1.24E+12
ITA,1996,1.31E+12
ITA,1995,1.17E+12
ITA,1994,1.1E+12
ITA,1993,1.06E+12
ITA,1992,1.32E+12
ITA,1991,1.25E+12
ITA,1990,1.18E+12
IND,2014,2.04E+12
IND,2013,1.86E+12
IND,2012,1.83E+12
IND,2011,1.82E+12
IND,2010,1.68E+12
IND,2009,1.34E+12
IND,2008,1.2E+12
IND,2007,1.22E+12
IND,2006,9.4E+11
IND,2005,8.2E+11
IND,2004,7.09E+11
IND,2003,6.08E+11
IND,2002,5.15E+11
IND,2001,4.85E+11
IND,2000,4.68E+11
IND,1999,4.59E+11
IND,1998,4.21E+11
IND,1997,4.16E+11
IND,1996,3.93E+11
IND,1995,3.6E+11
IND,1994,3.27E+11
IND,1993,2.79E+11
IND,1992,2.88E+11
IND,1991,2.7E+11
IND,1990,3.21E+11
GBR,2014,3.06E+12
GBR,2013,2.78E+12
GBR,2012,2.71E+12
GBR,2011,2.66E+12
GBR,2010,2.49E+12
GBR,2009,2.41E+12
GBR,2008,2.93E+12
GBR,2007,3.09E+12
GBR,2006,2.71E+12
GBR,2005,2.54E+12
GBR,2004,2.42E+12
GBR,2003,2.05E+12
GBR,2002,1.79E+12
GBR,2001,1.65E+12
GBR,2000,1.67E+12
GBR,1999,1.69E+12
GBR,1998,1.65E+12
GBR,1997,1.56E+12
GBR,1996,1.42E+12
GBR,1995,1.34E+12
GBR,1994,1.14E+12
GBR,1993,1.06E+12
GBR,1992,1.18E+12
GBR,1991,1.14E+12
GBR,1990,1.09E+12
FRA,2014,2.86E+12
FRA,2013,2.81E+12
FRA,2012,2.68E+12
FRA,2011,2.87E+12
FRA,2010,2.65E+12
FRA,2009,2.7E+12
FRA,2008,2.93E+12
FRA,2007,2.66E+12
FRA,2006,2.32E+12
FRA,2005,2.2E+12
FRA,2004,2.12E+12
FRA,2003,1.84E+12
FRA,2002,1.5E+12
FRA,2001,1.38E+12
FRA,2000,1.37E+12
FRA,1999,1.49E+12
FRA,1998,1.5E+12
FRA,1997,1.45E+12
FRA,1996,1.61E+12
FRA,1995,1.6E+12
FRA,1994,1.39E+12
FRA,1993,1.32E+12
FRA,1992,1.4E+12
FRA,1991,1.27E+12
FRA,1990,1.27E+12
DEU,2014,3.89E+12
DEU,2013,3.73E+12
DEU,2012,3.53E+12
DEU,2011,3.75E+12
DEU,2010,3.4E+12
DEU,2009,3.41E+12
DEU,2008,3.75E+12
DEU,2007,3.43E+12
DEU,2006,2.99E+12
DEU,2005,2.85E+12
DEU,2004,2.81E+12
DEU,2003,2.5E+12
DEU,2002,2.08E+12
DEU,2001,1.95E+12
DEU,2000,1.95E+12
DEU,1999,2.19E+12
DEU,1998,2.24E+12
DEU,1997,2.21E+12
DEU,1996,2.5E+12
DEU,1995,2.59E+12
DEU,1994,2.21E+12
DEU,1993,2.07E+12
DEU,1992,2.13E+12
DEU,1991,1.87E+12
DEU,1990,1.77E+12
CHN,2014,1.05E+13
CHN,2013,9.57E+12
CHN,2012,8.53E+12
CHN,2011,7.55E+12
CHN,2010,6.09E+12
CHN,2009,5.1E+12
CHN,2008,4.59E+12
CHN,2007,3.55E+12
CHN,2006,2.75E+12
CHN,2005,2.29E+12
CHN,2004,1.96E+12
CHN,2003,1.66E+12
CHN,2002,1.47E+12
CHN,2001,1.34E+12
CHN,2000,1.21E+12
CHN,1999,1.09E+12
CHN,1998,1.03E+12
CHN,1997,9.62E+11
CHN,1996,8.64E+11
CHN,1995,7.34E+11
CHN,1994,5.64E+11
CHN,1993,4.45E+11
CHN,1992,4.27E+11
CHN,1991,3.83E+11
CHN,1990,3.61E+11
CAN,2014,1.81E+12
CAN,2013,1.85E+12
CAN,2012,1.83E+12
CAN,2011,1.79E+12
CAN,2010,1.62E+12
CAN,2009,1.37E+12
CAN,2008,1.55E+12
CAN,2007,1.47E+12
CAN,2006,1.32E+12
CAN,2005,1.17E+12
CAN,2004,1.03E+12
CAN,2003,8.96E+11
CAN,2002,7.61E+11
CAN,2001,7.39E+11
CAN,2000,7.45E+11
CAN,1999,6.78E+11
CAN,1998,6.34E+11
CAN,1997,6.55E+11
CAN,1996,6.31E+11
CAN,1995,6.06E+11
CAN,1994,5.8E+11
CAN,1993,5.79E+11
CAN,1992,5.94E+11
CAN,1991,6.13E+11
CAN,1990,5.96E+11
